"nro";"y";"salary";"wl"
"1";27.1641115332346;"High";"High"
"2";27.7269834572132;"High";"High"
"3";26.0411778410113;"High";"High"
"4";26.4701800765059;"High";"High"
"5";29.0390372115933;"High";"High"
"6";26.521489595234;"High";"High"
"7";29.0252779200409;"High";"High"
"8";28.3063228181238;"High";"High"
"9";27.7867503091823;"High";"High"
"10";26.6478892423631;"High";"High"
"11";27.2163658085678;"High";"High"
"12";27.6184278065024;"High";"High"
"13";26.2363749329193;"High";"High"
"14";27.2557105531623;"High";"High"
"15";26.7939701788714;"High";"High"
"16";28.2971840171178;"High";"High"
"17";27.5273759500564;"High";"High"
"18";28.4482214636219;"High";"High"
"19";26.9844111722428;"High";"High"
"20";27.0847686320195;"High";"High"
"21";26.9686415204146;"High";"High"
"22";27.7158038000752;"High";"High"
"23";27.2797856979128;"High";"High"
"24";28.1061903856853;"High";"High"
"25";27.5298729642221;"High";"High"
"26";28.0458646358533;"High";"High"
"27";27.6138988895422;"High";"High"
"28";27.548143811636;"High";"High"
"29";27.5467288928366;"High";"High"
"30";26.7982942220441;"High";"High"
"31";27.2073253478764;"High";"High"
"32";26.6055967689504;"High";"High"
"33";28.2343295955825;"High";"High"
"34";26.2236278193753;"High";"High"
"35";26.8721908952422;"High";"High"
"36";36.2949723050003;"High";"Moderate"
"37";35.8355486394446;"High";"Moderate"
"38";37.4782896168555;"High";"Moderate"
"39";35.2729120111265;"High";"Moderate"
"40";35.7888799332772;"High";"Moderate"
"41";34.6495349013237;"High";"Moderate"
"42";35.9173402229209;"High";"Moderate"
"43";36.961724037701;"High";"Moderate"
"44";34.5632440914894;"High";"Moderate"
"45";37.1481531976288;"High";"Moderate"
"46";35.611717731316;"High";"Moderate"
"47";33.4955642717331;"High";"Moderate"
"48";36.6051120662097;"High";"Moderate"
"49";36.3360848805346;"High";"Moderate"
"50";35.8917567721602;"High";"Moderate"
"51";36.9888814598926;"High";"Moderate"
"52";35.7120149127736;"High";"Moderate"
"53";34.7236519051592;"High";"Moderate"
"54";36.6279106472122;"High";"Moderate"
"55";35.9601521421426;"High";"Moderate"
